id,nme,shortnme
21254,cd03462,"1,2-CCD"
21255,cd03463,"3,4-PCD_alpha"
21256,cd03464,"3,4-PCD_beta"
21257,cd03465,URO-D_like
21258,cd03466,Nitrogenase_NifN_2
21259,cd03467,Rieske
21260,cd03468,PolY_like
21261,cd03469,Rieske_RO_Alpha_N
21262,cd03470,Rieske_cytochrome_bc1
21263,cd03471,Rieske_cytochrome_b6f
21264,cd03472,Rieske_RO_Alpha_BPDO_like
21265,cd03473,Rieske_CMP_Neu5Ac_hydrolase_N
21266,cd03474,Rieske_T4moC
21267,cd03475,Rieske_SoxF_SoxL
21268,cd03476,Rieske_ArOX_small
21269,cd03477,Rieske_YhfW_C
21270,cd03478,Rieske_AIFL_N
21271,cd03479,Rieske_RO_Alpha_PhDO_like
21272,cd03480,Rieske_RO_Alpha_PaO
21273,cd03481,TopoIIA_Trans_ScTopoIIA
21274,cd03482,MutL_Trans_MutL
21275,cd03483,MutL_Trans_MLH1
21276,cd03484,MutL_Trans_hPMS_2_like
21277,cd03485,MutL_Trans_hPMS_1_like
21278,cd03486,MutL_Trans_MLH3
21279,cd03487,RT_Bac_retron_II
21280,cd03488,Topoisomer_IB_N_htopoI_like
21281,cd03489,Topoisomer_IB_N_LdtopoI_like
21282,cd03490,Topoisomer_IB_N_1
21283,cd03491,Thioesterase
21284,cd03492,LACT
21285,cd03493,SQR_QFR_TM
21286,cd03494,SQR_TypeC_SdhD
21287,cd03495,SQR_TypeC_SdhD_like
21288,cd03496,SQR_TypeC_CybS
21289,cd03497,SQR_TypeB_1_TM
21290,cd03498,SQR_TypeB_2_TM
21291,cd03499,SQR_TypeC_SdhC
21292,cd03500,SQR_TypeA_SdhD_like
21293,cd03501,SQR_TypeA_SdhC_like
21294,cd03502,Pol_Y_like_1
21295,cd03503,Pol_Y_like_2
21296,cd03504,Pol_Y_like_3
21297,cd03505,Delta9-FADS-like
21298,cd03506,Delta6-FADS-like
21299,cd03507,Delta12-FADS-like
21300,cd03508,Delta4-sphingolipid-FADS-like
21301,cd03509,DesA_FADS-like
21302,cd03510,Rhizobitoxine-FADS-like
21303,cd03511,Rhizopine-oxygenase-like
21304,cd03512,Alkane-hydroxylase
21305,cd03513,CrtW_beta-carotene-ketolase
21306,cd03514,CrtR_beta-carotene-hydroxylase
21307,cd03515,Link_domain_TSG_6_like
21308,cd03516,Link_domain_CD44_like
21309,cd03517,Link_domain_CSPGs_modules_1_3
21310,cd03518,Link_domain_HAPLN_module_1
21311,cd03519,Link_domain_HAPLN_module_2
21312,cd03520,Link_domain_CSPGs_modules_2_4
21313,cd03521,Link_domain_KIAA0527_like
21314,cd03522,MoeA_like
21315,cd03523,NTR_like
21316,cd03524,RPA2_OBF_family
21317,cd03525,NtA_agrin
21318,cd03526,SQR_QFR_TypeB_TM
21319,cd03527,RuBisCO_small
21320,cd03528,Rieske_RO_ferredoxin
21321,cd03529,Rieske_NirD
21322,cd03530,Rieske_NirD_small_Bacillus
21323,cd03531,Rieske_RO_Alpha_KSH
21324,cd03532,Rieske_RO_Alpha_VanA_DdmC
21325,cd03533,Rieske_POB_dioxygenase_N
21326,cd03534,Rieske_CARDO_oxygenase_N
21327,cd03535,Rieske_RO_Alpha_NDO
21328,cd03536,Rieske_RO_Alpha_DTDO
21329,cd03537,Rieske_RO_Alpha_PrnD
21330,cd03538,Rieske_RO_Alpha_AntDO
21331,cd03539,Rieske_RO_Alpha_S5H
21332,cd03540,Rieske_p_cumate_dioxygenase_N
21333,cd03541,Rieske_RO_Alpha_CMO
21334,cd03542,Rieske_RO_Alpha_HBDO
21335,cd03543,Rieske_LigX_oxygenase_N
21336,cd03544,Rieske_NBDO_oxygenase_N
21337,cd03545,Rieske_RO_Alpha_OHBDO_like
21338,cd03546,Rieske_AkbDO_oxygenase_N
21339,cd03547,Rieske_TERDOS_oxygenase_N
21340,cd03548,Rieske_RO_Alpha_OMO_CARDO
21341,cd03549,Rieske_MWDO_oxygenase_N
21342,cd03550,Rieske_RO_Alpha_ABSDOS
21343,cd03551,Rieske_MnbA_oxygenase_N
21344,cd03552,Rieske_DFDO_oxygenase_N
21345,cd03553,MuA
21346,cd03554,IS4
21347,cd03555,Integrase
21348,cd03556,L-fucose_isomerase
21349,cd03557,L-arabinose_isomerase
21350,cd03558,LGIC_ECD
21351,cd03559,LGIC_TM
21352,cd03560,TENI-like
21353,cd03561,VHS
21354,cd03562,CID
21355,cd03563,ENTH
21356,cd03564,ANTH_N
21357,cd03565,VHS_Tom1_like
21358,cd03566,VHS_like
21359,cd03567,VHS_GGA_metazoan
21360,cd03568,VHS_STAM
21361,cd03569,VHS_Hrs
21362,cd03570,VHS_Tom1_like
21363,cd03571,ENTH
21364,cd03572,ENTH_like_Tepsin
21365,cd03573,NsLTP
21366,cd03574,NTR_complement_C345C
21367,cd03575,NTR_WFIKKN
21368,cd03576,NTR_PCOLCE
21369,cd03577,NTR_TIMP_like
21370,cd03578,NTR_netrin-4_like
21371,cd03579,NTR_netrin-1_like
21372,cd03580,NTR_Sfrp1_like
21373,cd03581,NTR_Sfrp3_like
21374,cd03582,NTR_complement_C5
21375,cd03583,NTR_complement_C3
21376,cd03584,NTR_complement_C4
21377,cd03585,NTR_TIMP
21378,cd03586,PolY_Pol_IV_kappa
21379,cd03587,SOCS
21380,cd03588,CLECT_CSPGs
21381,cd03589,CLECT_CEL-1_like
21382,cd03590,CLECT_DC-SIGN_like
21383,cd03591,CLECT_collectin_like
21384,cd03592,CLECT_selectins_like
21385,cd03593,CLECT_NK_receptors_like
21386,cd03594,CLECT_REG-1_like
21387,cd03595,CLECT_chondrolectin_like
21388,cd03596,CLECT_tetranectin_like
21389,cd03597,CLECT_attractin_like
21390,cd03598,CLECT_EMBP_like
21391,cd03599,CLECT_DGCR2_like
21392,cd03600,CLECT_thrombomodulin_like
21393,cd03601,CLECT_TC14_like
21394,cd03602,CLECT_1
21395,cd03603,CLECT_VCBS
21396,cd03604,ACT_AK-like
21397,cd03605,ACT_HSDH-Hom
21398,cd03606,ACT_PheB-Bs
21399,cd03607,ACT_PDH-Bs
21400,cd03608,ACT_Bt0572_1
21401,cd03609,ACT_AHAS
21402,cd03610,ACT_AAAH-PDT-like
21403,cd03611,ACT_ThrD-I
21404,cd03612,ACT_Bt0572_2
21405,cd03613,ACT_AcuB
21406,cd03614,ACT_CBS
21407,cd03615,ACT_3PGDH-like
21408,cd03616,ACT_UTase-UR-ACR-like
21409,cd03617,ACT_TyrR
21410,cd03618,ACT_GcvR-PSP-like
21411,cd03619,ACT_Af1403
21412,cd03620,ACT_F4HF-DF
21413,cd03621,ACT_ThrD-II-like
21414,cd03622,ACT_MalLac-Enz
21415,cd03623,ACT_RelA-SpoT
21416,cd03624,ACT_AK_1
21417,cd03625,ACT_AK_2
21418,cd03626,ACT_AAAH
21419,cd03627,ACT_CM-PDT
21420,cd03628,ACT_ThrD-I_2
21421,cd03629,ACT_ThrD-I_1
21422,cd03630,ACT_3PGDH
21423,cd03631,ACT_3PGDH-xct
21424,cd03632,ACT_LSD
21425,cd03633,ACT_TyrKc
21426,cd03634,ACT_UTase-UR-Ec_1
21427,cd03635,ACT_UTase-UR-Ec_2
21428,cd03636,ACT_UTase-UR-Rr_1
21429,cd03637,ACT_UTase-UR-Rr_2
21430,cd03638,ACT_ACR_1
21431,cd03639,ACT_ACR_2
21432,cd03640,ACT_ACR_3
21433,cd03641,ACT_ACR_4
21434,cd03642,ACT_ACR-like_1
21435,cd03643,ACT_ACR-like_2
21436,cd03644,ACT_ACR-like_3
21437,cd03645,ACT_ACR-like_4
21438,cd03646,ACT_PSP_1
21439,cd03647,ACT_PSP_2
21440,cd03648,ACT_GcvR_1
21441,cd03649,ACT_GcvR_2
21442,cd03650,ACT_1ZPV
21443,cd03651,ACT_AKi-HSDH-ThrA_1
21444,cd03652,ACT_AK-LysC-like_1
21445,cd03653,ACT_AKiii-LysC-EC_1
21446,cd03654,ACT_AKiii-YclM-BS_1
21447,cd03655,ACT_AKi-DapG-BS_1
21448,cd03656,ACT_AKii-LysC-BS_1
21449,cd03657,ACT_AK-Hom3_1
21450,cd03658,ACT_AK-Ectoine_1
21451,cd03659,ACT_AKi-HSDH-ThrA_2
21452,cd03660,ACT_AK-LysC-like_2
21453,cd03661,ACT_AKiii-LysC-EC_2
21454,cd03662,ACT_AKiii-YclM-BS_2
21455,cd03663,ACT_AKi-DapG-BS_2
21456,cd03664,ACT_AKii-LysC-BS_2
21457,cd03665,ACT_AK-Hom3_2
21458,cd03666,ACT_AK-Ectoine_2
21459,cd03667,ACT_TPH
21460,cd03668,ACT_TH
21461,cd03669,ACT_PAH
21462,cd03670,NUDIX_ADPRase_Nudt9
21463,cd03671,NUDIX_Ap4A_hydrolase_plant_like
21464,cd03672,NUDIX_Dcp2p_Nudt20
21465,cd03673,NUDIX_Ap6A_hydrolase
21466,cd03674,NUDIX_Hydrolase
21467,cd03675,NUDIX_Hydrolase
21468,cd03676,NUDIX_Tnr3_like
21469,cd03677,MM_CoA_mutase_beta
21470,cd03678,MM_CoA_mutase_1
21471,cd03679,MM_CoA_mutase_alpha_like
21472,cd03680,MM_CoA_mutase_ICM_like
21473,cd03681,MM_CoA_mutase_MeaA
21474,cd03682,ClC_sycA_like
21475,cd03683,ClC_1_like
21476,cd03684,ClC_3_like
21477,cd03685,ClC_6_like
21478,cd03686,SR_Res_par
21479,cd03687,Dehydratase_LU
21480,cd03688,eIF2_gamma_II
21481,cd03689,RF3_II
21482,cd03690,Tet_II
21483,cd03691,BipA_TypA_II
21484,cd03692,mtIF2_IVc
21485,cd03693,EF1_alpha_II
21486,cd03694,GTPBP_II
21487,cd03695,CysN_NodQ_II
21488,cd03696,SelB_II
21489,cd03697,EFTU_II
21490,cd03698,eRF3_II_like
21491,cd03699,EF4_II
21492,cd03700,EF2_snRNP_like_II
21493,cd03701,IF2_IF5B_II
21494,cd03702,IF2_mtIF2_II
21495,cd03703,aeIF5B_II
21496,cd03704,eRF3_C_III
21497,cd03705,EF1_alpha_III
21498,cd03706,mtEFTU_III
21499,cd03707,EFTU_III
21500,cd03708,GTPBP_III
21501,cd03709,lepA_C
21502,cd03710,BipA_TypA_C
21503,cd03711,Tet_C
21504,cd03712,mtEFG2_like_Euk_C
21505,cd03713,EFG_mtEFG_C
21506,cd03714,RT_DIRS1
21507,cd03715,RT_ZFREV_like
21508,cd03716,SOCS_ASB_like
21509,cd03717,SOCS_SOCS_like
21510,cd03718,SOCS_SSB1_4
21511,cd03719,SOCS_SSB2
21512,cd03720,SOCS_ASB1
21513,cd03721,SOCS_ASB2
21514,cd03722,SOCS_ASB3
21515,cd03723,SOCS_ASB4_ASB18
21516,cd03724,SOCS_ASB5
21517,cd03725,SOCS_ASB6
21518,cd03726,SOCS_ASB7
21519,cd03727,SOCS_ASB8
21520,cd03728,SOCS_ASB_9_11
21521,cd03729,SOCS_ASB13
21522,cd03730,SOCS_ASB14
21523,cd03731,SOCS_ASB15
21524,cd03732,SOCS_ASB18
21525,cd03733,SOCS_WSB_SWIP
21526,cd03734,SOCS_CIS1
21527,cd03735,SOCS_SOCS1
21528,cd03736,SOCS_SOCS2
21529,cd03737,SOCS_SOCS3
21530,cd03738,SOCS_SOCS4
21531,cd03739,SOCS_SOCS5
21532,cd03740,SOCS_SOCS6
21533,cd03741,SOCS_SOCS7
21534,cd03742,SOCS_Rab40
21535,cd03743,SOCS_SSB4
21536,cd03744,SOCS_SSB1
21537,cd03745,SOCS_WSB2_SWIP2
21538,cd03746,SOCS_WSB1_SWIP1
21539,cd03747,Ntn_PGA_like
21540,cd03748,Ntn_PGA
21541,cd03749,proteasome_alpha_type_1
21542,cd03750,proteasome_alpha_type_2
21543,cd03751,proteasome_alpha_type_3
21544,cd03752,proteasome_alpha_type_4
21545,cd03753,proteasome_alpha_type_5
21546,cd03754,proteasome_alpha_type_6
21547,cd03755,proteasome_alpha_type_7
21548,cd03756,proteasome_alpha_archeal
21549,cd03757,proteasome_beta_type_1
21550,cd03758,proteasome_beta_type_2
21551,cd03759,proteasome_beta_type_3
21552,cd03760,proteasome_beta_type_4
21553,cd03761,proteasome_beta_type_5
21554,cd03762,proteasome_beta_type_6
21555,cd03763,proteasome_beta_type_7
21556,cd03764,proteasome_beta_archeal
21557,cd03765,proteasome_beta_bacterial
21558,cd03766,Gn_AT_II_novel
21559,cd03767,SR_Res_par
21560,cd03768,SR_ResInv
21561,cd03769,SR_IS607_transposase_like
21562,cd03770,SR_TndX_transposase
21563,cd03771,MATH_Meprin
21564,cd03772,MATH_HAUSP
21565,cd03773,MATH_TRIM37
21566,cd03774,MATH_SPOP
21567,cd03775,MATH_Ubp21p
21568,cd03776,MATH_TRAF6
21569,cd03777,MATH_TRAF3
21570,cd03778,MATH_TRAF2
21571,cd03779,MATH_TRAF1
21572,cd03780,MATH_TRAF5
21573,cd03781,MATH_TRAF4
21574,cd03782,MATH_Meprin_Beta
21575,cd03783,MATH_Meprin_Alpha
21576,cd03784,GT1_Gtf-like
21577,cd03785,GT28_MurG
21578,cd03786,GTB_UDP-GlcNAc_2-Epimerase
21579,cd03787,KDO_transferase
21580,cd03788,GT20_TPS
21581,cd03789,GT9_LPS_heptosyltransferase
21582,cd03790,Gtf
21583,cd03791,GT5_Glycogen_synthase_DULL1-like
21584,cd03792,GT4_trehalose_phosphorylase
21585,cd03793,GT3_GSY2-like
21586,cd03794,GT4_WbuB-like
21587,cd03795,GT4_WfcD-like
21588,cd03796,GT4_PIG-A-like
21589,cd03797,GT1_like_1
21590,cd03798,GT4_WlbH-like
21591,cd03799,GT4_AmsK-like
21592,cd03800,GT4_sucrose_synthase
21593,cd03801,GT4_PimA-like
21594,cd03802,GT4_AviGT4-like
21595,cd03803,GT1_surface-layer_glycoprotein_like
21596,cd03804,GT4_WbaZ-like
21597,cd03805,GT4_ALG2-like
21598,cd03806,GT4_ALG11-like
21599,cd03807,GT4_WbnK-like
21600,cd03808,GT4_CapM-like
21601,cd03809,GT4_MtfB-like
21602,cd03810,GT1_WbdA_N_like
21603,cd03811,GT4_GT28_WabH-like
21604,cd03812,GT4_CapH-like
21605,cd03813,GT4-like
21606,cd03814,GT4-like
21607,cd03815,GT1_PaORF15_like
21608,cd03816,GT33_ALG1-like
21609,cd03817,GT4_UGDG-like
21610,cd03818,GT4_ExpC-like
21611,cd03819,GT4_WavL-like
21612,cd03820,GT4_AmsD-like
21613,cd03821,GT4_Bme6-like
21614,cd03822,GT4_mannosyltransferase-like
21615,cd03823,GT4_ExpE7-like
21616,cd03824,GT1_wabG_like
21617,cd03825,GT4_WcaC-like
21618,cd03826,GT1_wchF_like
21619,cd03827,GT1_WaaD_like
21620,cd03828,GT1_aceA_like
21621,cd03829,Sina
21622,cd03830,PNPOx_FlaRed
21623,cd03831,PNPOx_CREG_like
21624,cd03832,PNPOx
21625,cd03833,PNPOx_like_1
21626,cd03834,PNPOx_like_2
21627,cd03835,PNPOx_like_3
21628,cd03836,PNPOx_HutZ_like
21629,cd03837,PNPOx_like_4
21630,cd03838,PNPOx_like_6
21631,cd03839,PNPOx_Rv1155_like
21632,cd03840,PNPOx_FMN_bp_like
21633,cd03841,PNPOx_Bli_3_like
21634,cd03842,PNPOx_like_5
21635,cd03843,PNPOx_nim_like
21636,cd03844,FlaRed_like_1
21637,cd03845,FlaRed_flavoredoxin
21638,cd03846,FlaRed_like_1
21639,cd03847,FlaRed_ferric_reductase
21640,cd03848,FlaRed_like_euk
21641,cd03849,FlaRed_PheA2_like
21642,cd03850,FlaRed_tftC_like
21643,cd03851,FlaRed_npcB_like
21644,cd03852,FlaRed_like_2
21645,cd03853,FlaRed_HpaC_like
21646,cd03854,FlaRed_NTA_monooxygenase_B_like
21647,cd03855,M14_ASTE
21648,cd03856,M14_Nna1-like
21649,cd03857,M14-like
21650,cd03858,M14_CP_N-E_like
21651,cd03859,M14_CPT
21652,cd03860,M14_CP_A-B_like
21653,cd03861,M14_gamma_D_glutamyl_L_diamino_acid_endopeptidase_I
21654,cd03862,M14-like
21655,cd03863,M14_CPD_II
21656,cd03864,M14_CPN
21657,cd03865,M14_CPE
21658,cd03866,M14_CPM
21659,cd03867,M14_CPZ
21660,cd03868,M14_CPD_I
21661,cd03869,M14_CPX_like
21662,cd03870,M14_CPA
21663,cd03871,M14_CPB
21664,cd03872,M14_CPA6
21665,cd03873,Zinc_peptidase_like
21666,cd03874,M28_PMSA_TfR_like
21667,cd03875,M28_Fxna_like
21668,cd03876,M28_SGAP_like
21669,cd03877,M28_like
21670,cd03878,Peptidase_M28_PSMA_like
21671,cd03879,M28_AAP
21672,cd03880,M28_QC_like
21673,cd03881,M28_Nicastrin
21674,cd03882,M28_nicalin_like
21675,cd03883,M28_Pgcp_like
21676,cd03884,M20_bAS
21677,cd03885,M20_CPDG2
21678,cd03886,M20_Acy1
21679,cd03887,M20_Acy1L2
21680,cd03888,M20_PepV
21681,cd03889,M20_yscS_like
21682,cd03890,M20_pepD
21683,cd03891,M20_DapE_proteobac
21684,cd03892,M20_peptT
21685,cd03893,M20_Dipept_like
21686,cd03894,M20_ArgE
21687,cd03895,M20_ArgE_DapE-like
21688,cd03896,M20_PAAh_like
21689,cd03897,abhydrolase_1
21690,cd03898,Acidic_lipase
21691,cd03899,bacterial_lipase
21692,cd03900,Cutinase_like
21693,cd03901,epoxide_hydrolase
21694,cd03902,PAf-acetylhydrolase
21695,cd03903,Haloperoxidase_like
21696,cd03904,DLH
21697,cd03905,haloalkane_dehydrogenase
21698,cd03906,Rdmc_like
21699,cd03907,proline_iminopeptidase
21700,cd03908,BioH
21701,cd03909,hydroxynitrile_lyase_like
21702,cd03910,acetyl-esterase_deacetylase
21703,cd03911,Rsbq_like
21704,cd03912,aminopeptidase_F1
21705,cd03913,lysophos_L2
21706,cd03914,PhaZ_like
21707,cd03915,abhydrolase_1_child_24
21708,cd03916,Palmitoyl-protein_thioesterase
21709,cd03917,Hormone-sensitive-lipase_like
21710,cd03918,Hormone-sensitive-lipase_like_child_1
21711,cd03919,carboxylesterase_B
21712,cd03920,neurotactin
21713,cd03921,fungal_carboxylesterase_lipase
21714,cd03922,PNB_esterase_like
21715,cd03923,carboxylesterase_type_B
21716,cd03924,Acetylcholinesterase_like
21717,cd03925,Bile_salt_activated_lipase
21718,cd03926,neuroligin_like
21719,cd03927,hbr2_like
21720,cd03928,juvenile_hormone_esterase_like
21721,cd03929,EstA_like
21722,cd03930,lipaseX
21723,cd03931,7WD40
21724,cd03932,7propeller_Integrin
21725,cd03933,7WD40_Aip1_CT_like
21726,cd03934,YVTN_propeller
21727,cd03935,6WD40
21728,cd03936,7WD40_child_52
21729,cd03937,7WD40_coronin
21730,cd03938,7WD40_child_63
21731,cd03939,7WD40_child_61
21732,cd03940,7WD40_ARP_2_3
21733,cd03941,7WD40_PWP2_like
21734,cd03942,7WD40_CDC20
21735,cd03943,7WD40_RBB4_7
21736,cd03944,7WD40_AIP1_NT_like
21737,cd03945,7WD40_PRP19
21738,cd03946,8WD40
21739,cd03947,7WD40_HIRA
21740,cd03948,7WD40_HirA_like
21741,cd03949,7WD40_child_58
21742,cd03950,7WD40_U3_snoRNA
21743,cd03951,7WD40_eIF3_s2
21744,cd03952,7WD40_child_68
21745,cd03953,7WD40_child_69
21746,cd03954,7WD40_HMG
21747,cd03955,7WD40_BUB3_like
21748,cd03956,7WD40_AAMCP
21749,cd03957,7WD40_child_51
21750,cd03958,7WD40_child_43
21751,cd03959,7WD40_jouberin_like
21752,cd03960,7WD40_p57
21753,cd03961,7WD40_coatomer
21754,cd03962,7WD40_TBL3
21755,cd03963,7WD40_TAF5_like
21756,cd03964,7WD40_child_53
21757,cd03965,7WD40_PTP2h
21758,cd03966,7WD40_PRP17_19
21759,cd03967,7WD40_child_46
21760,cd03968,7WD40_G_protein
21761,cd03969,7WD40_dynein
21762,cd03970,7WD40_FY_like
21763,cd03971,7WD40_Ski8p_like
21764,cd03972,7WD40_notchless
21765,cd03973,7WD40_WDRP3
21766,cd03974,7WD40_PLA2_activating
21767,cd03975,7WD40_groucho
21768,cd03976,7WD40_child_44
21769,cd03977,7WD40_SEC31
21770,cd03978,7WD40_child_49
21771,cd03979,7WD40_PRP4
21772,cd03980,7WD40_peroxin_7
21773,cd03981,7WD40_Tup1_like
21774,cd03982,7WD40_PRP8BP
21775,cd03983,7WD40_Lis1_like
21776,cd03984,7WD40_will_die_slowly_like
21777,cd03985,7WD40_child_56
21778,cd03986,7WD40_SPF20
21779,cd03987,7WD40_kinase
21780,cd03988,8WD40_CDC4
21781,cd03989,7WD40_beta_Trcp1_like
21782,cd03990,7WD40_katanin_p80
21783,cd03991,7WD40_DIP2
21784,cd03992,7WD40_child_65
21785,cd03993,7WD40_child_50
21786,cd03994,7WD40_child_54
21787,cd03995,7WD40_PRP46
21788,cd03996,7WD40_WSB2
21789,cd03997,7WD40_APG16L
21790,cd03998,7WD40_GBLP
21791,cd03999,7WD40_child_70
21792,cd04000,7WD40_ERCC8
21793,cd04001,7WD40_child_59
21794,cd04002,7WD40_p48
21795,cd04003,7WD40_child_55
21796,cd04004,7WD40_COP1
21797,cd04005,7WD40_child_36
21798,cd04006,7WD40_child_71
21799,cd04007,7WD40_child_72
21800,cd04008,7WD40_child_73
21801,cd04009,C2B_Munc13-like
21802,cd04010,C2B_RasA3
21803,cd04011,C2B_Ferlin
21804,cd04012,C2A_PI3K_class_II
21805,cd04013,C2_SynGAP_like
21806,cd04014,C2_PKC_epsilon
21807,cd04015,C2_plant_PLD
21808,cd04016,C2_Tollip
21809,cd04017,C2D_Ferlin
21810,cd04018,C2C_Ferlin
21811,cd04019,C2C_MCTP_PRT_plant
21812,cd04020,C2B_SLP_1-2-3-4
21813,cd04021,C2_E3_ubiquitin_ligase
21814,cd04022,C2A_MCTP_PRT_plant
21815,cd04023,C2_child_36
21816,cd04024,C2A_Synaptotagmin-like
21817,cd04025,C2B_RasA1_RasA4
21818,cd04026,C2_PKC_alpha_gamma
21819,cd04027,C2B_Munc13
21820,cd04028,C2B_RIM1alpha
21821,cd04029,C2A_SLP-4_5
21822,cd04030,C2C_KIAA1228
21823,cd04031,C2A_RIM1alpha
21824,cd04032,C2_Perforin
21825,cd04033,C2_NEDD4_NEDD4L
21826,cd04034,C2_child_27
21827,cd04035,C2A_Rabphilin_Doc2
21828,cd04036,C2_cPLA2
21829,cd04037,C2E_Ferlin
21830,cd04038,C2_ArfGAP
21831,cd04039,C2_PSD
21832,cd04040,C2D_Tricalbin-like
21833,cd04041,C2A_fungal
21834,cd04042,C2A_MCTP_PRT
21835,cd04043,C2_Munc13_fungal
21836,cd04044,C2A_Tricalbin-like
21837,cd04045,C2C_Tricalbin-like
21838,cd04046,C2_Calpain
21839,cd04047,C2B_Copine
21840,cd04048,C2A_Copine
21841,cd04049,C2_putative_Elicitor-responsive_gene
21842,cd04050,C2B_Synaptotagmin-like
21843,cd04051,C2_SRC2_like
21844,cd04052,C2B_Tricalbin-like
21845,cd04053,C2_child_38
21846,cd04054,C2A_Rasal1_RasA4
21847,cd04055,C2_child_49
21848,cd04056,Peptidases_S53
21849,cd04057,Peptidase_S8_1
21850,cd04058,Peptidase_S8_SKI-1_like
21851,cd04059,Peptidases_S8_Protein_convertases_Kexins_Furin-like
21852,cd04060,Peptidase_S8_2
21853,cd04061,Peptidase_S8_child_17
21854,cd04062,Peptidase_S8_3
21855,cd04063,Peptidase_S8_child_5
21856,cd04064,Peptidase_S8_child_7
21857,cd04065,Peptidase_S8_child_3
21858,cd04066,Peptidase_S8_child_19
21859,cd04067,Peptidase_S8_child_8
21860,cd04068,Subtilisin_like
21861,cd04069,Thermitase
21862,cd04070,Peptidase_S8_child_11
21863,cd04071,Peptidase_S8_child_12
21864,cd04072,Peptidase_S8_child_13
21865,cd04073,Peptidase_S8_child_14
21866,cd04074,Peptidase_S8_Fervidolysin_like
21867,cd04075,Peptidase_S8_child_16
21868,cd04076,Peptidase_S8_child_21
21869,cd04077,Peptidases_S8_PCSK9_ProteinaseK_like
21870,cd04078,CBM36_xylanase-like
21871,cd04079,CBM6_agarase-like
21872,cd04080,CBM6_cellulase-like
21873,cd04081,CBM35_galactosidase-like
21874,cd04082,CBM35_pectate_lyase-like
21875,cd04083,CBM35_Lmo2446-like
21876,cd04084,CBM6_xylanase-like
21877,cd04085,delta_endotoxin_C
21878,cd04086,CBM35_mannanase-like
21879,cd04087,PTPA
21880,cd04088,EFG_mtEFG_II
21881,cd04089,eRF3_II
21882,cd04090,EF2_II_snRNP
21883,cd04091,mtEFG1_II_like
21884,cd04092,mtEFG2_II_like
21885,cd04093,HBS1_C_III
21886,cd04094,eSelB_III
21887,cd04095,CysN_NoDQ_III
21888,cd04096,eEF2_snRNP_like_C
21889,cd04097,mtEFG1_C
21890,cd04098,eEF2_C_snRNP
21891,cd04099,Dehydratase_LU_1
21892,PRK00001,rplC
21893,PRK00002,aroB
21894,PRK00004,rplX
21895,PRK00005,fmt
21896,PRK00006,fabZ
21897,PRK00007,PRK00007
21898,PRK00008,lipB
21899,PRK00009,PRK00009
21900,PRK00010,rplE
21901,PRK00011,glyA
21902,PRK00012,gatA
21903,PRK00013,groEL
21904,PRK00014,ribB
21905,PRK00015,rnhB
21906,PRK00016,PRK00016
21907,PRK00017,PRK00017
21908,PRK00018,ccrB
21909,PRK00019,rpmE
21910,PRK00020,truB
21911,PRK00021,truA
21912,PRK00022,lolB
21913,PRK00023,cmk
21914,PRK00024,PRK00024
21915,PRK00025,lpxB
21916,PRK00026,trmD
21917,PRK00028,infC
21918,PRK00029,PRK00029
21919,PRK00030,minC
21920,PRK00031,lolA
21921,PRK00032,PRK00032
21922,PRK00033,clpS
21923,PRK00034,gatC
21924,PRK00035,hemH
21925,PRK00036,PRK00036
21926,PRK00037,hisS
21927,PRK00038,rnpA
21928,PRK00039,ruvC
21929,PRK00040,rpsP
21930,PRK00041,PRK00041
21931,PRK00042,tpiA
21932,PRK00043,thiE
21933,PRK00044,psd
21934,PRK00045,hemA
21935,PRK00046,murB
21936,PRK00047,glpK
21937,PRK00048,PRK00048
21938,PRK00049,PRK00049
21939,PRK00050,PRK00050
21940,PRK00051,hisI
21941,PRK00052,PRK00052
21942,PRK00053,alr
21943,PRK00054,PRK00054
21944,PRK00055,PRK00055
21945,PRK00056,mtgA
21946,PRK00057,murB
21947,PRK00058,PRK00058
21948,PRK00059,prsA
21949,PRK00060,PRK00060
21950,PRK00061,ribH
21951,PRK00062,PRK00062
21952,PRK00064,recF
21953,PRK00066,ldh
21954,PRK00067,radC
21955,PRK00068,PRK00068
21956,PRK00069,PRK00069
21957,PRK00070,acpS
21958,PRK00071,nadD
21959,PRK00072,hemC
21960,PRK00073,pgk
21961,PRK00074,guaA
21962,PRK00075,cbiD
21963,PRK00076,recR
21964,PRK00077,eno
21965,PRK00078,PRK00078
21966,PRK00079,trmD
21967,PRK00080,ruvB
21968,PRK00081,coaE
21969,PRK00082,hrcA
21970,PRK00083,frr
21971,PRK00084,ispF
21972,PRK00085,recO
21973,PRK00086,fmt
21974,PRK00087,PRK00087
21975,PRK00088,rnhB
21976,PRK00089,era
21977,PRK00090,bioD
21978,PRK00091,miaA
21979,PRK00092,PRK00092
21980,PRK00093,PRK00093
21981,PRK00094,gpsA
21982,PRK00095,mutL
21983,PRK00098,PRK00098
21984,PRK00099,rplJ
21985,PRK00100,cmk
21986,PRK00101,argS
21987,PRK00102,rnc
21988,PRK00103,PRK00103
21989,PRK00104,scpA
21990,PRK00105,cobT
21991,PRK00106,PRK00106
21992,PRK00107,gidB
21993,PRK00108,mraY
21994,PRK00109,PRK00109
21995,PRK00110,PRK00110
21996,PRK00111,PRK00111
21997,PRK00112,tgt
21998,PRK00114,hslO
