id,nme,shortnme
257,smart00136,LamNT
258,smart00137,MAM
259,smart00138,MeTrc
260,smart00139,MyTH4
261,smart00140,NGF
262,smart00141,PDGF
263,smart00142,PI3K_C2
264,smart00143,PI3K_p85B
265,smart00144,PI3K_rbd
266,smart00145,PI3Ka
267,smart00146,PI3Kc
268,smart00147,RasGEF
269,smart00148,PLCXc
270,smart00149,PLCYc
271,smart00150,SPEC
272,smart00151,SWIB
273,smart00152,THY
274,smart00153,VHP
275,smart00154,ZnF_AN1
276,smart00155,PLDc
277,smart00156,PP2Ac
278,smart00157,PRP
279,smart00159,PTX
280,smart00160,RanBD
281,smart00162,SAPA
282,smart00164,TBC
283,smart00165,UBA
284,smart00166,UBX
285,smart00167,VPS9
286,smart00173,RAS
287,smart00174,RHO
288,smart00175,RAB
289,smart00176,RAN
290,smart00177,ARF
291,smart00178,SAR
292,smart00179,EGF_CA
293,smart00180,EGF_Lam
294,smart00181,EGF
295,smart00182,CULLIN
296,smart00183,NAT_PEP
297,smart00184,RING
298,smart00185,ARM
299,smart00186,FBG
300,smart00187,INB
301,smart00188,IL10
302,smart00189,IL2
303,smart00190,IL4_13
304,smart00191,Int_alpha
305,smart00192,LDLa
306,smart00193,PTN
307,smart00194,PTPc
308,smart00195,DSPc
309,smart00197,SAA
310,smart00198,SCP
311,smart00199,SCY
312,smart00200,SEA
313,smart00201,SO
314,smart00202,SR
315,smart00203,TK
316,smart00204,TGFB
317,smart00205,THN
318,smart00206,NTR
319,smart00207,TNF
320,smart00208,TNFR
321,smart00209,TSP1
322,smart00210,TSPN
323,smart00211,TY
324,smart00212,UBCc
325,smart00213,UBQ
326,smart00214,VWC
327,smart00215,VWC_out
328,smart00216,VWD
329,smart00217,WAP
330,smart00218,ZU5
331,smart00219,TyrKc
332,smart00220,S_TKc
333,smart00222,Sec7
334,smart00223,APPLE
335,smart00224,GGL
336,smart00225,BTB
337,smart00226,LMWPc
338,smart00227,NEBU
339,smart00228,PDZ
340,smart00229,RasGEFN
341,smart00230,CysPc
342,smart00231,FA58C
343,smart00232,JAB_MPN
344,smart00233,PH
345,smart00234,START
346,smart00235,ZnMc
347,smart00236,fCBD
348,smart00237,Calx_beta
349,smart00238,BIR
350,smart00239,C2
351,smart00240,FHA
352,smart00241,ZP
353,smart00242,MYSc
354,smart00243,GAS2
355,smart00244,PHB
356,smart00245,TSPc
357,smart00246,WH2
358,smart00247,XTALbg
359,smart00248,ANK
360,smart00249,PHD
