malto-oligosyltrehalose trehalohydrolase
sulfurtransferase complex subunit TusD
XdhC family protein
ADP-glyceromanno-heptose 6-epimerase
DUF4866 domain-containing protein
ECF-type riboflavin transporter substrate-binding protein
phosphoadenylyl-sulfate reductase
DUF1330 domain-containing protein
hydroxyacylglutathione hydrolase family protein
DUF2590 family protein
nickel-dependent lactate racemase
elongator complex protein
UpxY family transcription antiterminator
DUF3839 domain-containing protein
TIGR03752 family integrating conjugative element protein
IQ calmodulin-binding motif-containing protein
DUF3872 domain-containing protein
FliM/FliN family flagellar motor C-terminal domain-containing protein
NOL8 family RNA-binding protein
DUF2547 family protein
TM2 domain-containing protein
Erg28 family protein
sulfur relay protein TusD/DsrE
4Fe-4S single cluster domain-containing protein
MOSC domain-containing protein
outer membrane protein assembly factor
type I-C CRISPR-associated endonuclease Cas1
WW domain-containing class I SAM-dependent methyltransferase
DUF473 domain-containing protein
UDP-glucose/GDP-mannose dehydrogenase family protein
purine phosphoribosyltransferase family protein
lysogenization regulator HflD
ROK family transcriptional regulator
M23 family metallopeptidase
bacillithiol biosynthesis deacetylase
penicillin-binding protein
DUF1646 domain-containing protein
SulP family inorganic anion transporter
DUF3892 domain-containing protein
DUF4190 domain-containing protein
exosortase
PLEKHF1 family PH domain-containing protein
murein peptide amidase A
carbamoyltransferase HypF
lipid droplet assembly factor 1
siphovirus Gp157 family protein
3-phosphoserine/phosphohydroxythreonine aminotransferase
DUF3802 family protein
DUF3837 domain-containing protein
RAP domain-containing protein
PRKCA-binding protein
adaptive-response sensory-kinase SasA
NAD(+) diphosphatase
PLP-dependent decarboxylase
lateral flagellin LafA
MON1/SAND family protein
roadblock/LC7 domain-containing protein
xanthine dehydrogenase FAD-binding subunit XdhB
MarC family protein
HobA family DNA replication regulator
UFC family protein
VPS11 family protein
dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit
peptide ABC transporter ATP-binding protein
F0F1 ATP synthase subunit delta
mitochondrial fission protein
beta-phosphoglucomutase
DUF932 domain-containing protein
Qc-SNARE protein
RlpA-like double-psi beta-barrel domain-containing protein
TOPRIM and DUF927 domain-containing protein
DUF3021 domain-containing protein
methylthioribulose-1-phosphate dehydratase
glutamate-1-semialdehyde 2,1-aminomutase
GRB2-associated-binding protein
glutamate racemase
benzoylformate decarboxylase
leishmanolysin
ATP-dependent dethiobiotin synthetase BioD
phage tail sheath protein
exodeoxyribonuclease V subunit gamma
RES family NAD+ phosphorylase
YoqO family protein
DUF2452 domain-containing protein
FAD-dependent hydroxylase
divergent polysaccharide deacteylase family protein
bifunctional cobalt-precorrin 5A hydrolase/precorrin-3B C(17)-methyltransferase
PD-(D/E)XK nuclease family protein
DTW domain-containing protein
Ground-like domain-containing protein
RAB geranylgeranyltransferase subunit A family protein
DUF4132 domain-containing protein
Ycf66 family protein
FN3 and LamG domain-containing metallophosphoesterase family protein
YjjG family noncanonical pyrimidine nucleotidase
oxygen-dependent coproporphyrinogen-III oxidase
nucleoside-diphosphate kinase
rRNA large subunit methyltransferase I
DUF3807 domain-containing protein
glycine cleavage system aminomethyltransferase GcvT
O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
AgaS family sugar isomerase
isopentenyl phosphate kinase family protein
dTMP kinase
class R serpentine receptor
DIM1 family thioredoxin-like protein
DUF2853 family protein
Siz/PIAS RING finger protein
betaine aldehyde dehydrogenase
terminase small subunit
DUF1064 domain-containing protein
BatD family protein
3-oxoacyl-ACP reductase
molecular chaperone
DUF5035 domain-containing protein
pur operon repressor
ERG2 family protein
L-ribulose-5-phosphate 4-epimerase
movement TGBp3 family protein
sn-glycerol-3-phosphate import ATP-binding protein UgpC
cobalt-precorrin-methyltransferase
uS5 family ribosomal protein
DUF3113 family protein
DUF3445 domain-containing protein
sedoheptulose-bisphosphatase
peptidase
SLCO6 family MFS transporter
DUF1438 domain-containing protein
small G protein signaling modulator
very late expression factor 1
DUF1107 domain-containing protein
protein-export chaperone SecB
calcium-translocating P-type ATPase
truncated hemoglobin
RNA polymerase beta'' subunit family protein
ComF family protein
DUF4921 family protein
glyoxylate carboligase
DUF3874 domain-containing protein
tropomyosin
histone deacetylase
DUF2408 domain-containing protein
heterogeneous nuclear ribonucleoprotein
heptaprenyl diphosphate synthase component
terminase ATPase subunit family protein
multidrug effflux MFS transporter
phosphohydrolase
type II pantothenate kinase
YejG family protein
FadR/GntR family transcriptional regulator
PIG-T family GPI transamidase component
methionine biosynthesis protein MetW
SKN1/KRE6 family beta-glucan synthesis-associated protein
colicin V production protein
HypD family hydrogenase formation protein
L-cystine transporter
metal-sensitive transcriptional regulator
two-component system connector SafA
DUF1415 domain-containing protein
PDGFA associated 1 family protein
type VII secretion protein
SycD/LcrH family type III secretion system chaperone
YwmB family TATA-box binding protein
XisH family protein
YhdP family protein
Fe3+-hydroxamate ABC transporter ATP-binding protein
DUF4887 domain-containing protein
DUF1564 domain-containing protein
YfiM family protein
polysaccharide pyruvyl transferase family protein
ubiquinone biosynthesis protein
molybdopterin-binding protein
D-alanyl-D-alanine endopeptidase
DUF5043 domain-containing protein
EAL and HDOD domain-containing protein
DUF2281 domain-containing protein
virion infectivity factor
cPLA2 family C2 domain-containing protein
MipA/OmpV family protein
adenylosuccinate lyase
Vir family protein
iron-containing alcohol dehydrogenase
cytokinin dehydrogenase
LPS export ABC transporter ATP-binding protein
DPY30/SDC1 family protein
colanic acid biosynthesis protein WcaM
TVP38/TMEM64 family protein
derlin
kelch repeat domain-containing protein
UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
hsp70 family protein
ACAP family PH domain-containing protein
class III extradiol ring-cleavage dioxygenase family protein
DgsA anti-repressor MtfA
DUF5024 domain-containing protein
amino acid deaminase
DUF4159 domain-containing protein
ING3 family PHD finger domain-containing protein
E2F-associated phosphoprotein
LKB1/STK11 family serine/threonine-protein kinase
CoA-binding protein
transferase hexapeptide repeat family protein
adenylate cyclase
DUF3303 domain-containing protein
sarcolemmal membrane associated protein family
DUF565 domain-containing protein
proliferating cell nuclear antigen
ribosomal protein S2
translesion error-prone DNA polymerase V autoproteolytic subunit
DUF2799 and DUF1090 domain-containing protein
TIGR02444 family protein
DUF3712 domain-containing protein
DUF4827 domain-containing protein
death domain-containing protein
DUF3638 domain-containing protein
indolepyruvate oxidoreductase subunit beta family protein
molybdopterin-guanine dinucleotide biosynthesis protein B
DUF1663 domain-containing protein
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
snurportin-1
malonate transporter subunit MadL
L-serine ammonia-lyase
CCR4-NOT transcription complex subunit
DUF3785 domain-containing protein
DUF4446 family protein
NADH:flavin oxidoreductase/NADH oxidase
DUF5312 domain-containing protein
CDC5/polo family serine/threonine-protein kinase
Rne/Rng family ribonuclease
phosphoinositide phospholipase C family protein
Tol-Pal system protein TolQ
VKR family receptor tyrosine-protein kinase
ferritin-like domain-containing protein
DUF2616 domain-containing protein
jacalin family lectin
YrdB family protein
carbamate kinase
copper chaperone PCu(A)C
sprouty-related, EVH1 domain-containing protein
trehalose repressor
DUF1517 domain-containing protein
DUF1177 domain-containing protein
DUF4404 family protein
YegP family protein
CTH1 family zinc finger protein
peptidase domain-containing ABC transporter
DUF2458 domain-containing protein
HugZ family protein
YpjP family protein
Ku protein
PRK06851 family protein
TatC family protein
GIG1 family protein
S phase cyclin A-associated protein in the endoplasmic reticulum
putative selenate reductase subunit YgfK
DUF2750 domain-containing protein
fibroblast growth factor-binding protein
ribosomal protein L3 N(5)-glutamine methyltransferase
aa3-type cytochrome c oxidase subunit IV
M13 family metallopeptidase N-terminal domain-containing protein
D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase
TAF13/SPT3 family protein
cyanase
N-terminal phage integrase SAM-like domain-containing protein
protease modulator HflK
putative ABC exporter domain-containing protein
YfaZ family protein
DUF859 domain-containing protein
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
DUF3894 domain-containing protein
cysteine desulfuration protein SufE
DUF4768 domain-containing protein
putative molybdenum carrier protein
methionine adenosyltransferase
PTS sugar transporter subunit
rRNA adenine N(6)-methyltransferase family protein
GAS domain-containing protein
aldolase catalytic domain-containing protein
piezo-type mechanosensitive ion channel component
PIG-H family GPI synthesis protein
ABC exporter membrane fusion protein
DUF4392 domain-containing protein
CbrC family protein
DUF1998 domain-containing protein
tandem-type lipoprotein
C39 family peptidase
phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase family protein
ubiquinone/menaquinone biosynthesis methyltransferase
YIP1 family protein
DUF2121 family protein
39S ribosomal family protein
STE20-related kinase adapter protein alpha
BCII family subclass B1 metallo-beta-lactamase
ICP22 family protein
UPF0193 protein EVG1
SYS1 family protein
aldehyde dehydrogenase
glucuronide transporter
GIY-YIG nuclease family protein
NarK family nitrate/nitrite MFS transporter
Ran GTPase-activating protein 1
Rho family protein
DUF2192 domain-containing protein
chlorophyll a-b binding protein
cytochrome c-type biogenesis protein
leucine-rich repeat-containing protein kinase family protein
packaged DNA stabilization protein gp10
cadherin
phosphatidylcholine/phosphatidylserine synthase
APOPT family protein
O-phosphoseryl-tRNA(Sec) selenium transferase
DUF1902 domain-containing protein
DUF4949 domain-containing protein
aurora kinase
type 4a pilus biogenesis protein PilO
M30 family metallopeptidase
bifunctional glycosyltransferase family 2 protein/class I SAM-dependent methyltransferase
CCDC174 family protein
Cdk5/Pho85 family cyclin-dependent kinase
quinone oxidoreductase
class II fructose-bisphosphate aldolase
SINA family E3 ubiquitin protein ligase
phosphoadenosine phosphosulfate sulfurtransferase
CBF/MAK21 family protein
CDC2/CDK family serine/threonine-protein kinase
DUF1235 domain-containing protein
CcoG/RdxA/FixG family protein
DUF4722 domain-containing protein
alanine--tRNA ligase
SPP1 family PHD finger domain-containing protein
phosphoserine phosphatase
SapC family protein
ELMO/CED-12 family protein
DUF3156 family protein
RebB family R body protein
BTB/POZ and TAZ domain-containing protein
SNX27 family PH domain-containing protein
chloride channel protein
heme-binding protein
DOPA 4,5-dioxygenase family protein
AdipoR/hemolysin III family protein
leukocyte surface antigen CD53
ribosomal protein L29 family protein
guanylate-binding family protein
transcription elongation factor
zinc-binding alcohol dehydrogenase family protein
caleosin family protein
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
hybrid fatty acyl-AMP ligase/type I polyketide synthase
aromatic/alkene/methane monooxygenase hydroxylase/oxygenase subunit alpha
ATP-dependent nuclease subunit B
DUF4560 domain-containing protein
DUF1353 domain-containing protein
major surface glycoprotein
SETD3 family SET domain-containing protein
neuronal PAS domain-containing protein 1
DUF2065 domain-containing protein
AbrB/MazE/SpoVT family DNA-binding domain-containing protein
NOSIP family E3 ubiquitin-protein ligase
SLC13 family permease
type-X family DNA polymerase
branched-chain amino acid ABC transporter substrate-binding protein
tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
discoidin domain-containing receptor
mitogen-activated protein kinase kinase
MFSD8-like MFS transporter
cleavage and polyadenylation specificity factor subunit
DNA polymerase alpha/epsilon subunit B
DUF3682 domain-containing protein
beta-2-glycoprotein 1
DUF4804 domain-containing protein
HlyD family secretion protein
polynucleotide adenylyltransferase PcnB
SYLF and SH3 domain-containing protein
tubulin/FtsZ family protein
DUF4667 domain-containing protein
membrane magnesium transporter family protein
polyhydroxyalkanoate synthesis repressor PhaR
ezrin/radixin/moesin family protein
Maf family protein
GAF domain-containing sensor histidine kinase
ribosomal-processing cysteine protease Prp
AIDA-I family autotransporter YfaL
arginine ABC transporter ATP-binding protein ArtP
DNA polymerase
peptide chain release factor N(5)-glutamine methyltransferase
RCC1 and BTB domain-containing protein
LexA family transcriptional regulator
PUR family DNA/RNA-binding protein
GPI-anchor transamidase
bL35 family ribosomal protein
FUT8 family protein
IGP family C-type lectin domain-containing protein
citrate synthase family protein
phosphotransferase RcsD
ZC3H12 family PIN domain-containing protein
GNL3/Grn1 family GTP-binding protein
PucR family transcriptional regulator
ThiF family adenylyltransferase
fatty acid desaturase
imelysin family protein
resuscitation-promoting factor
D-2-hydroxyacid dehydrogenase
e family ribosomal protein
FtsZ/tubulin family protein
cbb3-type cytochrome oxidase assembly protein
CDP-alcohol phosphatidyltransferase family protein
dethiobiotin synthase
DUF368 domain-containing protein
nodulin-like protein
glucose-1-phosphate cytidylyltransferase
DUF2816 domain-containing protein
ATP-independent periplasmic protein-refolding chaperone
PRP4 family serine/threonine-protein kinase
ATP:cob(I)alamin adenosyltransferase
tRNA guanosine transglycosylase
voltage-gated potassium channel protein
YdbT family protein
ERO1 family protein
S9 family peptidase
DUF1366 domain-containing protein
MGR2/ROMO1 family protein
beta-galactosidase family protein
DUF1846 domain-containing protein
ABA4-like family protein
permease
UDP-2,3-diacylglucosamine diphosphatase
DUF5398 domain-containing protein
DUF2111 domain-containing protein
DUF1466 family protein
iron-only hydrogenase system regulator
KIF1 family kinesin-like protein
receptor-interacting serine/threonine-protein kinase 1
sulfate ABC transporter permease
run domain Beclin-1-interacting and cysteine-rich domain-containing protein
type VI secretion system membrane subunit
tripeptidyl-peptidase 2
uridine-cytidine kinase
CD225/dispanin family protein
nitrate reductase
shewanella-like protein phosphatase
tetraprenyl-beta-curcumene synthase family protein
DUF2291 domain-containing protein
RXT2 domain-containing protein
DUF2162 domain-containing protein
fibroblast growth factor
YicC family protein
YchJ family protein
ATP-dependent DNA helicase
flagellar biosynthesis protein FlhF
DNA-protecting protein DprA
PHF20 family PHD finger domain-containing protein
HyaD/HybD family hydrogenase maturation endopeptidase
nitrite reductase (NAD(P)H) small subunit
DUF4202 domain-containing protein
NOPCHAP1/New4 family protein
tRNA (adenine(22)-N(1))-methyltransferase TrmK
WNK family serine/threonine-protein kinase
fungal transcription factor regulatory middle homology region domain-containing protein
DUF4843 domain-containing protein
nickel ABC transporter permease subunit
BamA/TamA family outer membrane protein
crotonase/enoyl-CoA hydratase family protein
DsbC family protein
GATOR complex protein
hydroxyethylthiazole kinase
TIGR01212 family radical SAM protein
DUF3564 domain-containing protein
peptidase associated and DUF5686 domain-containing protein
type I-C CRISPR-associated protein Cas8c/Csd1
DUF977 family protein
multidrug resistance outer membrane protein MdtQ
DUF261 domain-containing protein
bifunctional NAD(P)H-dependent oxidoreductase/GNAT family N-acetyltransferase
ApaG domain-containing protein
OFA family MFS transporter
YOS1 family protein
exonuclease SbcCD subunit D
DUF2529 domain-containing protein
DUF4350 domain-containing protein
homoserine O-acetyltransferase
fatty acid oxidation complex subunit alpha
non-canonical purine NTP phosphatase
pyrimidine utilization transport protein G
methionyl-tRNA formyltransferase
homogentisate phytyltransferase
nucleus accumbens-associated protein
Bor family protein
maturase K
SusC/RagA family TonB-linked outer membrane protein
DUF962 domain-containing protein
aspartate aminotransferase
CFAP299 family protein
cystic fibrosis transmembrane conductance regulator
DUF2644 domain-containing protein
PX and BAR domain-containing protein
RNA/RNP complex-1-interacting phosphatase family protein
importin family protein
DUF2150 family protein
MID1 family protein
arginine ABC transporter permease
YnfE family protein
TIGR03084 family protein
UbiD family decarboxylase
DUF3305 domain-containing protein
DUF5137 domain-containing protein
Rtr1/RPAP2 family protein phosphatase
YhcG family protein
septum formation initiator family protein
DUF2542 family protein
TIGR04222 domain-containing membrane protein
anaerobic carbon-monoxide dehydrogenase catalytic subunit
tagaturonate reductase
DMRTA family protein
stage V sporulation protein
epithelial sodium channel family protein
C4-dicarboxylic acid transporter DauA
YcgL domain-containing protein
AtpZ/AtpI family protein
DUF5321 domain-containing protein
FabA/FabZ family ACP-dehydratase
DUF3634 family protein
BAG family molecular chaperone regulator
ribosomal protein S6 kinase
glutamate-5-semialdehyde dehydrogenase
AGCS family amino acid carrier protein
DUF4570 domain-containing protein
NAD(P)H-binding domain containing protein
DUF1406 domain-containing protein
TMEM200 family protein
PRDM14 family SET domain-containing protein
ANTAR domain-containing protein
bifunctional S-methyl-5'-thioadenosine deaminase/S-adenosylhomocysteine deaminase
RND family transporter
dodecin family protein
DUF2722 domain-containing protein
DUF1647 domain-containing protein
YycH family regulatory protein
CdaR family transcriptional regulator
Pup--protein ligase
flagella basal body P-ring formation protein FlgA
UPF0728 family protein
acylphosphatase
arginyl-tRNA--protein transferase
DNA-binding transcriptional activator
FH2 domain-containing protein
stromal membrane-associated family protein
low molecular weight protein tyrosine phosphatase family protein
riboflavin biosynthesis RibD family protein
heterocycloanthracin/sonorensin family bacteriocin
ash family protein
N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase
GEN family endonuclease
unc-93 family MFS transporter
uS10 family ribosomal protein
(Fe-S)-binding protein
DOMON-like domain-containing protein
RPB5 family RNA polymerase subunit
D-(-)-3-hydroxybutyrate oligomer hydrolase
NmrA family NAD(P)-binding protein
serine dehydratase alpha family protein
NADPH-dependent 7-cyano-7-deazaguanine reductase
type 1 glutamine amidotransferase family protein
glucan ABC transporter ATP-binding protein/permease
Flp family type IVb pilin
DUF3963 domain-containing protein
SemiSWEET family sugar transporter
MORN repeat-containing protein
DUF2732 domain-containing protein
lactate 2-monooxygenase
S-adenosylmethionine synthetase family protein
Xaa-Pro dipeptidase
FusB/FusC family EF-G-binding protein
pyrimidine reductase family protein
bacterial proteasome activator family protein
formate transporter FocA
YtpI family protein
D-isomer specific 2-hydroxyacid dehydrogenase family protein
pro-sigmaK processing inhibitor BofA family protein
YhdB family protein
protein twist
N-alpha-acetyl diaminobutyric acid deacetylase DoeB
YfiR family protein
EF hand domain-containing protein
DUF4293 domain-containing protein
SET domain-containing protein
DUF3164 family protein
oxidoreductase FeS-binding subunit
NAD(+)/NADH kinase
SEC3 family protein
altronate dehydratase family protein
aconitase family protein
TRZ/ATZ family hydrolase
branched-chain amino acid transporter permease
gamma-glutamyl-phosphate reductase
Fzo-like mitofusin
NAD glycohydrolase inhibitor
RIO1 family protein
SH3 domain-containing protein
CatB-related O-acetyltransferase
thymidine phosphorylase
DUF1803 domain-containing protein
FG-GAP repeat protein
outer membrane lipoprotein carrier protein LolA
R2-like ligand-binding oxidase
dTDP-glucose 4,6-dehydratase
PAX interacting protein 1
cyclic nucleotide-binding domain-containing protein
glucosylglycerol 3-phosphatase
RecQ family protein
Kazal-type serine protease inhibitor family protein
NADP-dependent isocitrate dehydrogenase
beta-propeller fold lactonase family protein
triose-phosphate isomerase
